filename,name,status,confidence,page_url,image_url
arm-circles.jpg,Arm Circles,ok-exact,1.0,https://liftmanual.com/arm-circles/,https://liftmanual.com/wp-content/uploads/2023/04/arm-circles.jpg
standing-arms-circling.jpg,Standing Arms Circling,ok-exact,1.0,https://liftmanual.com/standing-arms-circling/,https://liftmanual.com/wp-content/uploads/2026/05/standing-arms-circling.jpg
scapula-retraction.jpg,Scapula Retraction Protraction,ok-exact,1.0,https://liftmanual.com/scapula-retraction-protraction/,https://liftmanual.com/wp-content/uploads/2023/04/scapula-retraction-protraction.jpg
scapula-elevation.jpg,Scapula Elevation Depression,ok-exact,1.0,https://liftmanual.com/scapula-elevation-depression/,https://liftmanual.com/wp-content/uploads/2023/04/scapula-elevation-depression.jpg
kneeling-chest.jpg,Kneeling Chest Stretch,ok-exact,1.0,https://liftmanual.com/kneeling-chest-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/kneeling-chest-stretch.jpg
seated-chest-clam.jpg,Seated Chest Clam,ok-exact,1.0,https://liftmanual.com/seated-chest-clam/,https://liftmanual.com/wp-content/uploads/2026/05/seated-chest-clam.jpg
chest-front-shoulder.jpg,Chest and Front of Shoulder Stretch,ok-exact,1.0,https://liftmanual.com/chest-and-front-of-shoulder-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/chest-and-front-of-shoulder-stretch.jpg
behind-head-chest.jpg,Behind Head Chest Stretch,ok-exact,1.0,https://liftmanual.com/behind-head-chest-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/behind-head-chest-stretch.jpg
back-pec.jpg,Back Pec Stretch,ok-exact,1.0,https://liftmanual.com/back-pec-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/back-pec-stretch.jpg
standing-one-arm-chest.jpg,Standing One Arm Chest Stretch,ok-exact,1.0,https://liftmanual.com/standing-one-arm-chest-stretch/,https://liftmanual.com/wp-content/uploads/2026/05/standing-one-arm-chest-stretch.jpg
reverse-chest.jpg,Reverse Chest Stretch,ok-exact,1.0,https://liftmanual.com/reverse-chest-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/reverse-chest-stretch.jpg
external-shoulder-rotation.jpg,External Shoulder Rotation Stretch,ok-exact,1.0,https://liftmanual.com/external-shoulder-rotation-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/external-shoulder-rotation-stretch.jpg
internal-shoulder-rotation.jpg,Internal Shoulder Rotation Stretch,ok-exact,1.0,https://liftmanual.com/internal-shoulder-rotation-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/internal-shoulder-rotation-stretch.jpg
rotator-cuff.jpg,Rotator Cuff Stretch,ok-exact,1.0,https://liftmanual.com/rotator-cuff-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/rotator-cuff-stretch.jpg
elbow-out-rotator.jpg,Elbow Out Rotator Stretch,ok-exact,1.0,https://liftmanual.com/elbow-out-rotator-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/elbow-out-rotator-stretch.jpg
elbow-flexor.jpg,Elbow Flexor Stretch,ok-exact,1.0,https://liftmanual.com/elbow-flexor-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/elbow-flexor-stretch.jpg
forearm-pronator.jpg,Forearm Pronator Stretch,ok-exact,1.0,https://liftmanual.com/forearm-pronator-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/forearm-pronator-stretch.jpg
kneeling-wrist-flexor.jpg,Kneeling Wrist Flexor Stretch,ok-exact,1.0,https://liftmanual.com/kneeling-wrist-flexor-stretch/,https://liftmanual.com/wp-content/uploads/2023/04/kneeling-wrist-flexor-stretch.jpg
forearm-wall-slide.jpg,Forearm Wall Slide,ok-exact,1.0,https://liftmanual.com/forearm-wall-slide/,https://liftmanual.com/wp-content/uploads/2023/04/forearm-wall-slide.jpg
serratus-wall-slide.jpg,Serratus Wall Slide,ok-exact,1.0,https://liftmanual.com/serratus-wall-slide/,https://liftmanual.com/wp-content/uploads/2023/04/serratus-wall-slide.jpg
